Tax Class,Level 0,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,General Commission,Lookup Cat. ID,Lookup Cat. Name,asd
international,Root Category,Home Appliances,Small Kitchen Appliances,Electric Pans,,,,7.27,3321,Electric Pans,3321
international,Root Category,Home Appliances,Small Kitchen Appliances,Electric Pans,Electric Woks,,,7.27,3322,Electric Woks,3322
international,Root Category,Home Appliances,Small Kitchen Appliances,Electric Pans,Suki Pots,,,7.27,3323,Suki Pots,3323
international,Root Category,Home Appliances,Small Kitchen Appliances,Coffee Machines & Accessories,,,,7.27,3327,Coffee Machines & Accessories,3327
international,Root Category,Home Appliances,Small Kitchen Appliances,Toasters & Sandwich Makers,,,,7.27,3328,Toasters & Sandwich Makers,3328
international,Root Category,Home Appliances,Small Kitchen Appliances,Specialty Cookware,,,,7.27,3329,Specialty Cookware,3329
international,Root Category,Home Appliances,Small Kitchen Appliances,Specialty Cookware,Other Cookware,,,7.27,3332,Other Cookware,3332
international,Root Category,Home Appliances,Small Kitchen Appliances,Yogurt & Ice-Cream Makers,,,,7.27,3333,Yogurt & Ice-Cream Makers,3333
international,Root Category,Home Appliances,Small Kitchen Appliances,Yogurt & Ice-Cream Makers,Yogurt Makers,,,7.27,3334,Yogurt Makers,3334
international,Root Category,Home Appliances,Small Kitchen Appliances,Yogurt & Ice-Cream Makers,Ice-Cream Makers,,,7.27,3335,Ice-Cream Makers,3335
international,Root Category,Home Appliances,Small Kitchen Appliances,Water Dispensers,,,,7.27,3336,Water Dispensers,3336
international,Root Category,Home Appliances,Small Kitchen Appliances,Water Purifiers & Filters,,,,7.27,3337,Water Purifiers & Filters,3337
international,Root Category,Home Appliances,Garment Care,,,,,7.27,3338,Garment Care,3338
international,Root Category,Home Appliances,Garment Care,Irons,,,,7.27,3339,Irons,3339
international,Root Category,Home Appliances,Garment Care,Garment Steamers,,,,7.27,3340,Garment Steamers,3340
international,Root Category,Home Appliances,Garment Care,Sewing Machines,,,,7.27,3341,Sewing Machines,3341
international,Root Category,Home Appliances,Housekeeping,,,,,7.27,3342,Housekeeping,3342
international,Root Category,Home Appliances,Housekeeping,Vacuum Cleaners,,,,7.27,3343,Vacuum Cleaners,3343
international,Root Category,Home Appliances,Housekeeping,Vacuum Cleaners,Wet & Dry Vaccum Cleaners,,,7.27,3348,Wet & Dry Vaccum Cleaners,3348
international,Root Category,Home Appliances,Housekeeping,Vacuum Cleaners,Handheld Vacuum Cleaners,,,7.27,3349,Handheld Vacuum Cleaners,3349
international,Root Category,Home Appliances,Housekeeping,Floor Care,,,,7.27,3350,Floor Care,3350
international,Root Category,Home Appliances,Cooling & Heating,,,,,7.27,3354,Cooling & Heating,3354
international,Root Category,Home Appliances,Cooling & Heating,Fans,,,,7.27,3355,Fans,3355
international,Root Category,Home Appliances,Cooling & Heating,"Air Purifiers, Dehumidifiers & Humidifiers",,,,7.27,3356,"Air Purifiers, Dehumidifiers & Humidifiers",3356
international,Root Category,Home Appliances,Cooling & Heating,Air Conditioners,,,,0.64,3357,Air Conditioners,#N/A
international,Root Category,Home Appliances,Cooling & Heating,Water Heaters,,,,2.73,3358,Water Heaters,#N/A
international,Root Category,Home Appliances,Cooling & Heating,Heaters,,,,2.73,3359,Heaters,#N/A
international,Root Category,Home Appliances,Large Appliances,,,,,4.55,3360,Large Appliances,#N/A
international,Root Category,Home Appliances,Large Appliances,Microwaves & Ovens,,,,4.55,3361,Microwaves & Ovens,#N/A
international,Root Category,Home Appliances,Large Appliances,Microwaves & Ovens,Microwaves,,,4.55,3362,Microwaves,#N/A
international,Root Category,Home Appliances,Large Appliances,Microwaves & Ovens,ovens,,,4.55,3363,ovens,#N/A
international,Root Category,Home Appliances,Large Appliances,Cooktops,,,,4.55,3364,Cooktops,#N/A
international,Root Category,Home Appliances,Large Appliances,Cooktops,Induction Cooktops,,,4.55,3365,Induction Cooktops,#N/A
international,Root Category,Home Appliances,Large Appliances,Cooktops,Gas Stoves,,,4.55,3366,Gas Stoves,#N/A
international,Root Category,Home Appliances,Large Appliances,Cooktops,Electric Stoves,,,4.55,3367,Electric Stoves,#N/A
international,Root Category,Home Appliances,Large Appliances,Refrigerators,,,,0.64,3369,Refrigerators,#N/A
international,Root Category,Home Appliances,Large Appliances,Freezers,,,,4.55,3370,Freezers,#N/A
international,Root Category,Home Appliances,Large Appliances,Dish Washers & Dryers,,,,4.55,3373,Dish Washers & Dryers,#N/A
international,Root Category,Home Appliances,Large Appliances,Ranges & Hobs,,,,4.55,3374,Ranges & Hobs,#N/A
international,Root Category,Home Appliances,Large Appliances,Hoods,,,,4.55,3375,Hoods,#N/A
international,Root Category,Computers & Laptops,,,,,,5.45,3377,Computers & Laptops,#N/A
international,Root Category,Computers & Laptops,Laptops,,,,,4.55,3378,Laptops,#N/A
international,Root Category,Computers & Laptops,Desktops computers,,,,,5.45,3379,Desktops computers,#N/A
international,Root Category,Computers & Laptops,Computer Components,,,,,5.45,3380,Computer Components,#N/A
