id_supplier,short_code,name
47117,ID113G7,"Earth Olshop"
47256,ID113K6,"aryanto herbal"
47630,ID113VV,"pelangi online store"
47734,ID113YU,MHC
48468,ID114JT,"TOKO TUKU"
48470,ID114JV,"Smart Comp"
48724,ID114S4,"WAKA KIDS"
48961,ID114YW,"Messi Online Shop"
49186,ID1155B,"Shop Channel"
49189,ID1155E,"her+man onLine Shop"
49233,ID1156N,GOOD_ACC
49389,ID115B4,"Laris Jaya 99"
49670,ID115J5,"TUXIDA GROUP"
49720,ID115KK,"Happy MTB."
49840,ID115O0,"Adhesi Shop"
49870,ID115OV,"NLS Corp"
49875,ID115P0,"Canadian Shop"
49986,ID115T6,"Marel Socks"
50171,ID115YG,"Grosir Makanan Burung dll"
50320,ID1162P,"robagin collection"
50815,ID116GV,Bukka
51028,ID116MY,nayashopjakarta
51051,ID116NL,JAGOBUKU
51727,ID1177X,P-Beauty
51777,ID1179C,Omomart
51792,ID1179S,"genevieve store"
51876,ID117C6,"Raharjo Baby"
51917,ID117DC,"Rumput Sintetis."
51926,ID117DL,arenabelanja
51927,ID117DM,Vinzieneth
52213,ID117LT,"Maybelline Indonesia"
52308,ID117OI,GIGATH
52309,ID117OJ,"mitra composites"
52748,ID11823,"Sentra Kopi"
52946,ID1187R,"Toko PESONA"
53118,ID118CN,Tokobazaar
53350,ID118JA,"REUNION SHOP"
53477,ID118MX,Amorahomeliving
53615,ID118RV,"LYAN SHOP"
53687,ID118TX,ychateau
54612,ID119KC,tserbada
54831,ID119RL,Metamor
54893,ID119TD,"Regan Official Shop"
54916,ID119U1,"Djava Stuff"
55188,ID11A1T,Apotek.co.id
55217,ID11A2M,"Fantech Official Store"
55475,ID11AA0,Weal&Co
55573,ID11ACT,"BreakBox Store"
55618,ID11AE3,"Elmart Depo Elektronik"
55677,ID11AFS,PakaianSportS
55723,ID11AH3,"Quantum Milenium"
55755,ID11AI0,Tiaria
55784,ID11AIU,"Vania Fashion"
55977,ID11AOC,Kenzi_Watch
56006,ID11AP6,Mendekor
56013,ID11APD,"azis store"
56029,ID11APU,Pacificstore
56096,ID11ASR,"Alby Shop Jaya"
56114,ID11AT9,"Modus Clothing"
56203,ID11AVT,"Ananda Watch Center"
56334,ID11AZJ,"Surya Inti Elektronik"
56431,ID11B2B,"toko gasa"
56453,ID11B2Y,"SK-II Felice Kosmetik"
56469,ID11B3E,"ALL PC"
56631,ID11B81,Mulberry-Store
56693,ID11B9T,FUJI89
56999,ID11BIJ,kikishop
57020,ID11BJ5,"Bursa Dapur Store"
57080,ID11BKV,"D'SO SHOP"
57181,ID11BNR,"Grosir Tabita Original"
57349,ID11BTJ,"perdana watch"
57495,ID11BXP,"Nabila olshop"
57815,ID11C6V,One_Store
57877,ID11C8M,"SILVER SWAN"
58044,ID11CDE,Trulychoco
58230,ID11CIP,"Interior DIY"
58265,ID11CJP,"H8 Enterprise"
58382,ID11CN2,DekaShop
58387,ID11CN7,"Cahaya Harapan"
58419,ID11CO4,dExtra-
58503,ID11CRI,"Naro Fashion"
58569,ID11CTE,Bayland
58766,ID11CZ1,DISTRONATION
58971,ID11D4W,teknindoelectric
59149,ID11D9Z,"Lucky Borneo"
59324,ID11DEZ,"Sunda Nice Store"
59351,ID11DFR,Dekaco
59437,ID11DI7,"IJ STORE"
59701,ID11DPR,"Wheatgrass Juice Company"
59709,ID11DPZ,"Bag Thinker"
59915,ID11DWV,"Pluvia Shoes"
60109,ID11E2E,PUJASERA
60131,ID11E31,"Sam Sportse"
60320,ID11E8F,"drn shop"
60410,ID11EB0,"RICKY GLOBAL SOLUTION"
60596,ID11EGB,"Verdant Avenue"
60807,ID11EMC,"Yuk Belajar Masak"
60808,ID11EMD,SteffyTabita
60854,ID11ENO,"Vinidy Mandiri Indonesia"
60908,ID11EP8,Forresto
60986,ID11ESG,drcolections
61082,ID11EV7,"Oksgate Shop"
61177,ID11EXX,"naura queen cell"
61181,ID11EY1,"Yobel Cosmetics"
61216,ID11EZ1,"Spesialis Obat Herbal"
61223,ID11EZ8,Jelita_V
61404,ID11F4E,TamaBizz
61444,ID11F5J,GadgetPro
61575,ID11F9A,"Djogja Market"
61605,ID11FA5,"Duta Sarana Persada"
61773,ID11FEY,"Best Gallery herbal"
61894,ID11FIE,"TOY SHOP ID - Mattel Official Re-seller"
62001,ID11FLG,"herbal bandung"
62003,ID11FLI,"SUMBER JAYA MANDIRI AC"
62146,ID11FPL,"Moonella Store"
62169,ID11FR9,giffaristore
62288,ID11FUN,"Lampe Berger Indonesia"
62353,ID11FWI,"Anugerah Teknik AC"
62392,ID11FXM,"arsya farming shop"
62671,ID11G5L,"SJ Mobile"
62777,ID11G8M,"FINA ONLINE SHOP"
63011,ID11GFB,KOSMELITA
63136,ID11GIW,dagangbarang
63231,ID11GLL,"Toko Kasur Super Murah"
63238,ID11GLT,"TOKOKU ID"
63366,ID11GPG,"Indonesia Nautical Addict"
63468,ID11GTD,"Arfi Store"
63735,ID11H10,"H-R-B-F store"
65045,ID11I3F,"Nusantara art"
65127,ID11I5S,"Toko Sukses Sejati"
65634,ID11IK9,"GMW Store"
65707,ID11IMC,Ashafa
65785,ID11IOK,"Grosir Sepatu dan tas Bandung"
65809,ID11IP9,"zafranshop id"
65905,ID11IT0,"Algren Store"
66311,ID11J4L,"bjay store"
66479,ID11J9E,Superpet
66590,ID11JCK,"Premium Station"
66721,ID11JGB,"tatomi walldecor"
66873,ID11JKN,TiV
67042,ID11JPH,twentySeven
67071,ID11JRB,"Solusi Tanaman"
67213,ID11JVD,"Toko Warna Warni"
67388,ID11K0D,Pusatkosmetik.com
67582,ID11K5X,lovablemart
