id_region,region,id_city,city,id_district,district
46,"Jawa Tengah",5415,"Kab. Klaten",5432,Karanganom
46,"Jawa Tengah",5415,"Kab. Klaten",5433,Kalikotes
46,"Jawa Tengah",5415,"Kab. Klaten",5434,Juwiring
46,"Jawa Tengah",5415,"Kab. Klaten",5435,Jogonalan
46,"Jawa Tengah",5415,"Kab. Klaten",5436,Jatinom
46,"Jawa Tengah",5415,"Kab. Klaten",5437,Gantiwarno
46,"Jawa Tengah",5415,"Kab. Klaten",5438,Delanggu
46,"Jawa Tengah",5415,"Kab. Klaten",5439,Ceper
46,"Jawa Tengah",5415,"Kab. Klaten",5440,Cawas
46,"Jawa Tengah",5415,"Kab. Klaten",5441,Bayat
46,"Jawa Tengah",5415,"Kab. Klaten",17496,Klaten
19,"Di Yogyakarta",6672,"Kab. Kulon Progo",6673,Wates
19,"Di Yogyakarta",6672,"Kab. Kulon Progo",6674,Temon
19,"Di Yogyakarta",6672,"Kab. Kulon Progo",6675,Sentolo
19,"Di Yogyakarta",6672,"Kab. Kulon Progo",6676,Samigaluh
19,"Di Yogyakarta",6672,"Kab. Kulon Progo",6677,Pengasih
19,"Di Yogyakarta",6672,"Kab. Kulon Progo",6678,Panjatan
19,"Di Yogyakarta",6672,"Kab. Kulon Progo",6679,Nanggulan
19,"Di Yogyakarta",6672,"Kab. Kulon Progo",6680,Lendah
19,"Di Yogyakarta",6672,"Kab. Kulon Progo",6681,Kokap
19,"Di Yogyakarta",6672,"Kab. Kulon Progo",6682,Kalibawang
19,"Di Yogyakarta",6672,"Kab. Kulon Progo",6683,Girimulyo
19,"Di Yogyakarta",6672,"Kab. Kulon Progo",6684,Galur
23,"Jawa Timur",4543,"Kab. Sidoarjo",4544,Wonoayu
23,"Jawa Timur",4543,"Kab. Sidoarjo",4545,Waru
23,"Jawa Timur",4543,"Kab. Sidoarjo",4546,Tulangan
23,"Jawa Timur",4543,"Kab. Sidoarjo",4547,Tarik
23,"Jawa Timur",4543,"Kab. Sidoarjo",4548,Tanggulangin
23,"Jawa Timur",4543,"Kab. Sidoarjo",4549,Taman
23,"Jawa Timur",4543,"Kab. Sidoarjo",4550,Sukodono
23,"Jawa Timur",4543,"Kab. Sidoarjo",4551,Sidoarjo
23,"Jawa Timur",4543,"Kab. Sidoarjo",4552,Sedati
23,"Jawa Timur",4543,"Kab. Sidoarjo",4553,Prambon
23,"Jawa Timur",4543,"Kab. Sidoarjo",4554,Porong
23,"Jawa Timur",4543,"Kab. Sidoarjo",4555,Krian
23,"Jawa Timur",4543,"Kab. Sidoarjo",4556,Krembung
23,"Jawa Timur",4543,"Kab. Sidoarjo",4557,Jabon
23,"Jawa Timur",4543,"Kab. Sidoarjo",4558,Gedangan
23,"Jawa Timur",4543,"Kab. Sidoarjo",4559,Candi
23,"Jawa Timur",4543,"Kab. Sidoarjo",4560,Buduran
23,"Jawa Timur",4543,"Kab. Sidoarjo",4561,Balongbendo
19,"Di Yogyakarta",6654,"Kab. Sleman",6655,Turi
19,"Di Yogyakarta",6654,"Kab. Sleman",6656,Tempel
19,"Di Yogyakarta",6654,"Kab. Sleman",6657,Sleman
19,"Di Yogyakarta",6654,"Kab. Sleman",6658,Seyegan
19,"Di Yogyakarta",6654,"Kab. Sleman",6659,Prambanan
19,"Di Yogyakarta",6654,"Kab. Sleman",6660,Pakem
19,"Di Yogyakarta",6654,"Kab. Sleman",6661,Ngemplak
19,"Di Yogyakarta",6654,"Kab. Sleman",6662,Ngaglik
19,"Di Yogyakarta",6654,"Kab. Sleman",6663,Moyudan
19,"Di Yogyakarta",6654,"Kab. Sleman",6664,Mlati
19,"Di Yogyakarta",6654,"Kab. Sleman",6665,Minggir
19,"Di Yogyakarta",6654,"Kab. Sleman",6666,Kalasan
19,"Di Yogyakarta",6654,"Kab. Sleman",6667,Godean
19,"Di Yogyakarta",6654,"Kab. Sleman",6668,Gamping
19,"Di Yogyakarta",6654,"Kab. Sleman",6669,Depok
19,"Di Yogyakarta",6654,"Kab. Sleman",6670,Cangkringan
19,"Di Yogyakarta",6654,"Kab. Sleman",6671,Berbah
46,"Jawa Tengah",5234,"Kab. Sragen",5235,Tanon
46,"Jawa Tengah",5234,"Kab. Sragen",5236,Tangen
46,"Jawa Tengah",5234,"Kab. Sragen",5237,Sumberlawang
46,"Jawa Tengah",5234,"Kab. Sragen",5238,Sukodono
46,"Jawa Tengah",5234,"Kab. Sragen",5239,Sragen
46,"Jawa Tengah",5234,"Kab. Sragen",5240,Sidoharjo
46,"Jawa Tengah",5234,"Kab. Sragen",5241,"Sambung Macan"
46,"Jawa Tengah",5234,"Kab. Sragen",5242,Sambirejo
46,"Jawa Tengah",5234,"Kab. Sragen",5243,Plupuh
46,"Jawa Tengah",5234,"Kab. Sragen",5244,Ngrampal
46,"Jawa Tengah",5234,"Kab. Sragen",5245,Mondokan
46,"Jawa Tengah",5234,"Kab. Sragen",5246,Miri
46,"Jawa Tengah",5234,"Kab. Sragen",5247,Masaran
46,"Jawa Tengah",5234,"Kab. Sragen",5248,Kedawung
46,"Jawa Tengah",5234,"Kab. Sragen",5249,Karangmalang
46,"Jawa Tengah",5234,"Kab. Sragen",5250,Kalijambe
46,"Jawa Tengah",5234,"Kab. Sragen",5251,Jenar
46,"Jawa Tengah",5234,"Kab. Sragen",5252,Gondang
46,"Jawa Tengah",5234,"Kab. Sragen",5253,Gesi
46,"Jawa Tengah",5234,"Kab. Sragen",5254,Gemolong
46,"Jawa Tengah",5221,"Kab. Sukoharjo",5222,Weru
46,"Jawa Tengah",5221,"Kab. Sukoharjo",5223,Tawangsari
46,"Jawa Tengah",5221,"Kab. Sukoharjo",5224,Sukoharjo
46,"Jawa Tengah",5221,"Kab. Sukoharjo",5225,Polokarto
46,"Jawa Tengah",5221,"Kab. Sukoharjo",5226,Nguter
46,"Jawa Tengah",5221,"Kab. Sukoharjo",5227,Mojolaban
46,"Jawa Tengah",5221,"Kab. Sukoharjo",5228,Kartasura
46,"Jawa Tengah",5221,"Kab. Sukoharjo",5229,Grogol
46,"Jawa Tengah",5221,"Kab. Sukoharjo",5230,Gatak
46,"Jawa Tengah",5221,"Kab. Sukoharjo",5231,Bulu
46,"Jawa Tengah",5221,"Kab. Sukoharjo",5232,Bendosari
46,"Jawa Tengah",5221,"Kab. Sukoharjo",5233,Baki
46,"Jawa Tengah",5155,"Kab. Wonogiri",5156,Wuryantoro
46,"Jawa Tengah",5155,"Kab. Wonogiri",5157,Wonogiri
46,"Jawa Tengah",5155,"Kab. Wonogiri",5158,Tirtomoyo
46,"Jawa Tengah",5155,"Kab. Wonogiri",5159,Slogohimo
46,"Jawa Tengah",5155,"Kab. Wonogiri",5160,Sidoharjo
46,"Jawa Tengah",5155,"Kab. Wonogiri",5161,Selogiri
46,"Jawa Tengah",5155,"Kab. Wonogiri",5162,Purwantoro
46,"Jawa Tengah",5155,"Kab. Wonogiri",5163,Puhpelem
46,"Jawa Tengah",5155,"Kab. Wonogiri",5164,Pracimantoro
46,"Jawa Tengah",5155,"Kab. Wonogiri",5165,Paranggupito
46,"Jawa Tengah",5155,"Kab. Wonogiri",5166,Nguntoronadi
46,"Jawa Tengah",5155,"Kab. Wonogiri",5167,Ngadirojo
46,"Jawa Tengah",5155,"Kab. Wonogiri",5168,Manyaran
46,"Jawa Tengah",5155,"Kab. Wonogiri",5169,Kismantoro
46,"Jawa Tengah",5155,"Kab. Wonogiri",5170,Karangtengah
46,"Jawa Tengah",5155,"Kab. Wonogiri",5171,Jatisrono
46,"Jawa Tengah",5155,"Kab. Wonogiri",5172,Jatiroto
46,"Jawa Tengah",5155,"Kab. Wonogiri",5173,Jatipurno
46,"Jawa Tengah",5155,"Kab. Wonogiri",5174,Giriwoyo
46,"Jawa Tengah",5155,"Kab. Wonogiri",5175,Giritontro
46,"Jawa Tengah",5155,"Kab. Wonogiri",5176,Girimarto
46,"Jawa Tengah",5155,"Kab. Wonogiri",5177,Eromoko
46,"Jawa Tengah",5155,"Kab. Wonogiri",5178,Bulukerto
46,"Jawa Tengah",5155,"Kab. Wonogiri",5179,Batuwarno
46,"Jawa Tengah",5155,"Kab. Wonogiri",5180,Baturetno
24,"Kalimantan Timur",3950,"Kota Balikpapan",3951,"Balikpapan Utara"
24,"Kalimantan Timur",3950,"Kota Balikpapan",3952,"Balikpapan Timur"
24,"Kalimantan Timur",3950,"Kota Balikpapan",3953,"Balikpapan Tengah"
24,"Kalimantan Timur",3950,"Kota Balikpapan",3954,"Balikpapan Selatan"
24,"Kalimantan Timur",3950,"Kota Balikpapan",3955,"Balikpapan Barat"
24,"Kalimantan Timur",3950,"Kota Balikpapan",17259,Balikpapan
18,Lampung,3729,"Kota Bandar Lampung",3730,"Telukbetung Utara"
18,Lampung,3729,"Kota Bandar Lampung",3731,"Telukbetung Selatan"
18,Lampung,3729,"Kota Bandar Lampung",3732,"Telukbetung Barat"
18,Lampung,3729,"Kota Bandar Lampung",3733,"Tanjung Senang"
18,Lampung,3729,"Kota Bandar Lampung",3734,"Tanjung Karang Timur"
18,Lampung,3729,"Kota Bandar Lampung",3735,"Tanjung Karang Pusat"
18,Lampung,3729,"Kota Bandar Lampung",3736,"Tanjung Karang Barat"
18,Lampung,3729,"Kota Bandar Lampung",3737,Sukarame
18,Lampung,3729,"Kota Bandar Lampung",3738,Sukabumi
18,Lampung,3729,"Kota Bandar Lampung",3739,Rajabasa
18,Lampung,3729,"Kota Bandar Lampung",3740,Panjang
18,Lampung,3729,"Kota Bandar Lampung",3741,Kemiling
18,Lampung,3729,"Kota Bandar Lampung",3742,Kedaton
18,Lampung,3729,"Kota Bandar Lampung",17211,"Bandar Lampung"
35,"Jawa Barat",6363,"Kota Bandung",6364,"Ujung Berung"
35,"Jawa Barat",6363,"Kota Bandung",6365,"Sumur Bandung"
35,"Jawa Barat",6363,"Kota Bandung",6366,Sukasari
35,"Jawa Barat",6363,"Kota Bandung",6367,Sukajadi
35,"Jawa Barat",6363,"Kota Bandung",6368,Regol
35,"Jawa Barat",6363,"Kota Bandung",6369,Rancasari
35,"Jawa Barat",6363,"Kota Bandung",6370,Panyileukan
35,"Jawa Barat",6363,"Kota Bandung",6371,Mandalajati
35,"Jawa Barat",6363,"Kota Bandung",6372,Lengkong
35,"Jawa Barat",6363,"Kota Bandung",6373,Kiaracondong
35,"Jawa Barat",6363,"Kota Bandung",6374,Gedebage
35,"Jawa Barat",6363,"Kota Bandung",6375,Coblong
35,"Jawa Barat",6363,"Kota Bandung",6376,Cinambo
35,"Jawa Barat",6363,"Kota Bandung",6377,Cidadap
35,"Jawa Barat",6363,"Kota Bandung",6378,Cicendo
35,"Jawa Barat",6363,"Kota Bandung",6379,Cibiru
35,"Jawa Barat",6363,"Kota Bandung",6380,"Cibeunying Kidul"
35,"Jawa Barat",6363,"Kota Bandung",6381,"Cibeunying Kaler"
35,"Jawa Barat",6363,"Kota Bandung",6382,"Buahbatu (Margacinta)"
35,"Jawa Barat",6363,"Kota Bandung",6383,"Bojongloa Kidul"
35,"Jawa Barat",6363,"Kota Bandung",6384,"Bojongloa Kaler"
35,"Jawa Barat",6363,"Kota Bandung",6385,Batununggal
35,"Jawa Barat",6363,"Kota Bandung",6386,"Bandung Wetan"
35,"Jawa Barat",6363,"Kota Bandung",6387,"Bandung Kulon"
35,"Jawa Barat",6363,"Kota Bandung",6388,"Bandung Kidul"
35,"Jawa Barat",6363,"Kota Bandung",6389,"Babakan Ciparay"
35,"Jawa Barat",6363,"Kota Bandung",6390,"Astana Anyar"
35,"Jawa Barat",6363,"Kota Bandung",6391,Arcamanik
35,"Jawa Barat",6363,"Kota Bandung",6392,"Antapani (Cicadas)"
35,"Jawa Barat",6363,"Kota Bandung",6393,Andir
35,"Jawa Barat",6363,"Kota Bandung",17391,"Bandung Kota Bandung"
35,"Jawa Barat",6345,"Kota Bekasi",6346,Rawalumbu
35,"Jawa Barat",6345,"Kota Bekasi",6347,"Pondok Melati"
