id_shipping_fee_rate_card_kg,origin,leadtime,destination_zone,rounding,weight_break,flat_rate,step_rate,is_live
8313753,"Cross Border",Standard,1099,1.00,999999.00,0.00,0.00,1
8313754,"Cross Border",Standard,1100,1.00,6999.00,0.00,0.00,1
8313755,"Cross Border",Standard,1100,1.00,999999.00,0.00,0.00,1
8313756,"Cross Border",Standard,1101,1.00,6999.00,0.00,0.00,1
8313757,"Cross Border",Standard,1101,1.00,999999.00,0.00,0.00,1
8313758,"Cross Border",Standard,1103,1.00,6999.00,0.00,0.00,1
8313759,"Cross Border",Standard,1103,1.00,999999.00,0.00,0.00,1
8313760,"Cross Border",Standard,1104,1.00,6999.00,0.00,0.00,1
8313761,"Cross Border",Standard,1104,1.00,999999.00,0.00,0.00,1
8313762,"Cross Border",Standard,1105,1.00,6999.00,0.00,0.00,1
8313763,"Cross Border",Standard,1105,1.00,999999.00,0.00,0.00,1
8313764,"Cross Border",Standard,1106,1.00,6999.00,0.00,0.00,1
8313765,"Cross Border",Standard,1106,1.00,999999.00,0.00,0.00,1
8313766,"Cross Border",Standard,1107,1.00,6999.00,0.00,0.00,1
8313767,"Cross Border",Standard,1107,1.00,999999.00,0.00,0.00,1
8313768,"Cross Border",Standard,1108,1.00,6999.00,0.00,0.00,1
8313769,"Cross Border",Standard,1108,1.00,999999.00,0.00,0.00,1
8313770,"Cross Border",Standard,1110,1.00,6999.00,0.00,0.00,1
8313771,"Cross Border",Standard,1110,1.00,999999.00,0.00,0.00,1
8313772,"Cross Border",Standard,1111,1.00,6999.00,0.00,0.00,1
8313773,"Cross Border",Standard,1111,1.00,999999.00,0.00,0.00,1
8313774,"Cross Border",Standard,1112,1.00,6999.00,0.00,0.00,1
8313775,"Cross Border",Standard,1112,1.00,999999.00,0.00,0.00,1
8313776,"Cross Border",Standard,1113,1.00,6999.00,0.00,0.00,1
8313777,"Cross Border",Standard,1113,1.00,999999.00,0.00,0.00,1
8313778,"Cross Border",Standard,1114,1.00,6999.00,0.00,0.00,1
8313779,"Cross Border",Standard,1114,1.00,999999.00,0.00,0.00,1
8313780,"Cross Border",Standard,1116,1.00,6999.00,0.00,0.00,1
8313781,"Cross Border",Standard,1116,1.00,999999.00,0.00,0.00,1
8313782,"Cross Border",Standard,1117,1.00,6999.00,0.00,0.00,1
8313783,"Cross Border",Standard,1117,1.00,999999.00,0.00,0.00,1
8313784,"Cross Border",Standard,1118,1.00,6999.00,0.00,0.00,1
8313785,"Cross Border",Standard,1118,1.00,999999.00,0.00,0.00,1
8313786,"Cross Border",Standard,1119,1.00,6999.00,0.00,0.00,1
8313787,"Cross Border",Standard,1119,1.00,999999.00,0.00,0.00,1
8313788,"Cross Border",Standard,1120,1.00,6999.00,0.00,0.00,1
8313789,"Cross Border",Standard,1120,1.00,999999.00,0.00,0.00,1
8313790,"Cross Border",Standard,1122,1.00,6999.00,0.00,0.00,1
8313791,"Cross Border",Standard,1122,1.00,999999.00,0.00,0.00,1
8313792,"Cross Border",Standard,1123,1.00,6999.00,0.00,0.00,1
8313793,"Cross Border",Standard,1123,1.00,999999.00,0.00,0.00,1
8313794,"Cross Border",Standard,1124,1.00,6999.00,0.00,0.00,1
8313795,"Cross Border",Standard,1124,1.00,999999.00,0.00,0.00,1
8313796,"Cross Border",Standard,1125,1.00,6999.00,0.00,0.00,1
8313797,"Cross Border",Standard,1125,1.00,999999.00,0.00,0.00,1
8313798,"Cross Border",Standard,1126,1.00,6999.00,0.00,0.00,1
8313799,"Cross Border",Standard,1126,1.00,999999.00,0.00,0.00,1
8313800,"Cross Border",Standard,1127,1.00,6999.00,0.00,0.00,1
8313801,"Cross Border",Standard,1127,1.00,999999.00,0.00,0.00,1
8313802,"Cross Border",Standard,1128,1.00,6999.00,0.00,0.00,1
8313803,"Cross Border",Standard,1128,1.00,999999.00,0.00,0.00,1
8313804,"Cross Border",Standard,1129,1.00,6999.00,0.00,0.00,1
8313805,"Cross Border",Standard,1129,1.00,999999.00,0.00,0.00,1
8313806,"Cross Border",Standard,1130,1.00,6999.00,0.00,0.00,1
8313807,"Cross Border",Standard,1130,1.00,999999.00,0.00,0.00,1
8313808,"Cross Border",Standard,1131,1.00,6999.00,0.00,0.00,1
8313809,"Cross Border",Standard,1131,1.00,999999.00,0.00,0.00,1
8313810,"Cross Border",Standard,1132,1.00,6999.00,0.00,0.00,1
8313811,"Cross Border",Standard,1132,1.00,999999.00,0.00,0.00,1
8313812,"Cross Border",Standard,1133,1.00,6999.00,0.00,0.00,1
8313813,"Cross Border",Standard,1133,1.00,999999.00,0.00,0.00,1
8313814,"Cross Border",Standard,1135,1.00,6999.00,0.00,0.00,1
8313815,"Cross Border",Standard,1135,1.00,999999.00,0.00,0.00,1
8313816,"Cross Border",Standard,1136,1.00,6999.00,0.00,0.00,1
8313817,"Cross Border",Standard,1136,1.00,999999.00,0.00,0.00,1
8313818,"Cross Border",Standard,1137,1.00,6999.00,0.00,0.00,1
8313819,"Cross Border",Standard,1137,1.00,999999.00,0.00,0.00,1
8313820,"Cross Border",Standard,1138,1.00,6999.00,0.00,0.00,1
8313821,"Cross Border",Standard,1138,1.00,999999.00,0.00,0.00,1
8313822,"Cross Border",Standard,1139,1.00,6999.00,0.00,0.00,1
8313823,"Cross Border",Standard,1139,1.00,999999.00,0.00,0.00,1
8313824,"Cross Border",Standard,1141,1.00,6999.00,0.00,0.00,1
8313825,"Cross Border",Standard,1141,1.00,999999.00,0.00,0.00,1
8313826,"Cross Border",Standard,1142,1.00,6999.00,0.00,0.00,1
8313827,"Cross Border",Standard,1142,1.00,999999.00,0.00,0.00,1
8313828,"Cross Border",Standard,1143,1.00,6999.00,0.00,0.00,1
8313829,"Cross Border",Standard,1143,1.00,999999.00,0.00,0.00,1
8313830,"Cross Border",Standard,1144,1.00,6999.00,0.00,0.00,1
8313831,"Cross Border",Standard,1144,1.00,999999.00,0.00,0.00,1
8313832,"Cross Border",Standard,1145,1.00,6999.00,0.00,0.00,1
8313833,"Cross Border",Standard,1145,1.00,999999.00,0.00,0.00,1
8313834,"Cross Border",Standard,1146,1.00,6999.00,0.00,0.00,1
8313835,"Cross Border",Standard,1146,1.00,999999.00,0.00,0.00,1
8313836,"Cross Border",Standard,1147,1.00,6999.00,0.00,0.00,1
8313837,"Cross Border",Standard,1147,1.00,999999.00,0.00,0.00,1
8313838,"Cross Border",Standard,1148,1.00,6999.00,0.00,0.00,1
8313839,"Cross Border",Standard,1148,1.00,999999.00,0.00,0.00,1
8313840,"Cross Border",Standard,1149,1.00,6999.00,0.00,0.00,1
8313841,"Cross Border",Standard,1149,1.00,999999.00,0.00,0.00,1
8313842,"Cross Border",Standard,1151,1.00,6999.00,0.00,0.00,1
8313843,"Cross Border",Standard,1151,1.00,999999.00,0.00,0.00,1
8313844,"Cross Border",Standard,1152,1.00,6999.00,0.00,0.00,1
8313845,"Cross Border",Standard,1152,1.00,999999.00,0.00,0.00,1
8313846,"Cross Border",Standard,1153,1.00,6999.00,0.00,0.00,1
8313847,"Cross Border",Standard,1153,1.00,999999.00,0.00,0.00,1
