Tax Class,Level 0,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,General Commission,Lookup Cat. ID,Lookup Cat. Name,asd
local,Root Category,Computers & Laptops,Computer Components,Processors,,,,2.73,3383,Processors,1
local,Root Category,Computers & Laptops,Computer Components,Graphic Cards,,,,2.73,3384,Graphic Cards,1
local,Root Category,Computers & Laptops,Storage,Internal Hard Drives,,,,2.73,3386,Internal Hard Drives,1
local,Root Category,Computers & Laptops,Computer Components,Internal Optical Drives,,,,2.73,3387,Internal Optical Drives,1
local,Root Category,Computers & Laptops,Computer Components,Cabinets,,,,2.73,3389,Cabinets,1
local,Root Category,Computers & Laptops,Computer Components,Power Supply Units,,,,2.73,3390,Power Supply Units,1
local,Root Category,Computers & Laptops,Computer Components,Fans & Heatsinks,,,,2.73,3391,Fans & Heatsinks,1
local,Root Category,Computers & Laptops,Computer Components,Fans & Heatsinks,Cabinet Fans,,,2.73,3392,Cabinet Fans,1
local,Root Category,Computers & Laptops,Computer Components,Fans & Heatsinks,CPU Fans & Heatsinks,,,2.73,3393,CPU Fans & Heatsinks,1
local,Root Category,Computers & Laptops,Computer Accessories,,,,,4.54,3394,Computer Accessories,1
local,Root Category,Computers & Laptops,Storage,External Hard Drives,,,,2.73,3395,External Hard Drives,1
local,Root Category,Computers & Laptops,Computer Accessories,Keyboards,,,,4.54,3396,Keyboards,1
local,Root Category,Computers & Laptops,Computer Accessories,Mice,,,,4.54,3397,Mice,1
local,Root Category,Computers & Laptops,Storage,USB Flash Drives,,,,2.73,3398,USB Flash Drives,1
local,Root Category,Computers & Laptops,Computer Accessories,Cooling Pads/Cooling Stands,,,,4.54,3399,Cooling Pads/Cooling Stands,1
local,Root Category,Computers & Laptops,Computer Accessories,External DVD Writers,,,,4.54,3403,External DVD Writers,1
local,Root Category,Computers & Laptops,Computer Accessories,Blank Media,,,,4.54,3404,Blank Media,1
local,Root Category,Computers & Laptops,Computer Accessories,Speakers,,,,4.54,3405,Speakers,1
local,Root Category,Computers & Laptops,Computer Accessories,Webcams,,,,4.54,3406,Webcams,1
local,Root Category,Computers & Laptops,Computer Accessories,Batteries,,,,4.54,3407,Batteries,1
local,Root Category,Computers & Laptops,Computer Accessories,Battery Adaptors,,,,4.54,3408,Battery Adaptors,1
local,Root Category,Computers & Laptops,Computer Accessories,TV Tuners,,,,4.54,3410,TV Tuners,1
local,Root Category,Computers & Laptops,Computer Accessories,Monitors,,,,1.36,3411,Monitors,1
local,Root Category,Computers & Laptops,Scanners,,,,,2.73,3413,Scanners,1
local,Root Category,Computers & Laptops,Printers & Accessories,,,,,2.73,3414,Printers & Accessories,1
local,Root Category,Computers & Laptops,Printers & Accessories,Printers,,,,2.73,3416,Printers,1
local,Root Category,Computers & Laptops,Software,,,,,2.73,3419,Software,1
local,Root Category,Computers & Laptops,Software,Security Software,,,,2.73,3420,Security Software,1
local,Root Category,Computers & Laptops,Software,Operating System,,,,2.73,3421,Operating System,1
local,Root Category,Computers & Laptops,Software,Office Tools,,,,2.73,3422,Office Tools,1
local,Root Category,Computers & Laptops,Software,Educational Media,,,,2.73,3423,Educational Media,1
local,Root Category,Computers & Laptops,Network Components,,,,,2.73,3424,Network Components,1
local,Root Category,"TV, Audio / Video, Gaming & Wearables",,,,,,3.64,3425,"TV, Audio / Video, Gaming & Wearables",1
local,Root Category,Computers & Laptops,Network Components,Routers,,,,2.73,3426,Routers,1
local,Root Category,Computers & Laptops,Network Components,Access Points,,,,2.73,3427,Access Points,1
local,Root Category,"TV, Audio / Video, Gaming & Wearables",Video,,,,,2.72,3429,Video,1
local,Root Category,Computers & Laptops,Network Components,Switches,,,,2.73,3430,Switches,1
local,Root Category,Computers & Laptops,Network Components,Network Interface Cards,,,,2.73,3431,Network Interface Cards,1
local,Root Category,"TV, Audio / Video, Gaming & Wearables",Televisions,,,,,0.9,3432,Televisions,1
local,Root Category,Computers & Laptops,Network Components,Wireless USB Adapters,,,,2.73,3433,Wireless USB Adapters,1
local,Root Category,Computers & Laptops,Network Components,Cables,,,,2.73,3434,Cables,1
local,Root Category,"TV, Audio / Video, Gaming & Wearables",Televisions,LED Televisions,,,,0.9,3436,LED Televisions,1
local,Root Category,"TV, Audio / Video, Gaming & Wearables",Televisions,CRT Televisions,,,,0.9,3438,CRT Televisions,1
local,Root Category,Mobiles & Tablets,,,,,,7.27,3441,Mobiles & Tablets,1
local,Root Category,"TV, Audio / Video, Gaming & Wearables",Televisions,Smart Televisions,,,,0.9,3442,Smart Televisions,1
local,Root Category,Mobiles & Tablets,Mobiles,,,,,1.36,3443,Mobiles,1
local,Root Category,Mobiles & Tablets,Tablets,,,,,1.36,3444,Tablets,1
local,Root Category,"TV, Audio / Video, Gaming & Wearables",Televisions,Plasma Televisions,,,,0.9,3449,Plasma Televisions,1
local,Root Category,"TV, Audio / Video, Gaming & Wearables",Televisions,LCD Televisions,,,,0.9,3454,LCD Televisions,1
local,Root Category,"TV, Audio / Video, Gaming & Wearables",Video,Projectors,,,,2.72,3462,Projectors,1
local,Root Category,Mobiles & Tablets,Landline Phones,,,,,7.27,3467,Landline Phones,1
local,Root Category,Cameras,,,,,,2.73,3476,Cameras,1
local,Root Category,"TV, Audio / Video, Gaming & Wearables",Video,Blu-Ray/DVD Players,,,,2.72,3477,Blu-Ray/DVD Players,1
local,Root Category,Cameras,Point & Shoot,,,,,1.36,3478,Point & Shoot,1
local,Root Category,Cameras,DSLR,,,,,0.91,3479,DSLR,1
local,Root Category,Cameras,Bridge,,,,,1.36,3480,Bridge,1
local,Root Category,Cameras,Video & Action Camcorder,,,,,1.82,3481,Video & Action Camcorder,1
local,Root Category,Cameras,Mirrorless,,,,,1.36,3482,Mirrorless,1
local,Root Category,Cameras,Instant Camera,,,,,2.73,3483,Instant Camera,1
local,Root Category,Cameras,Camera Accessories,,,,,4.54,3484,Camera Accessories,1
local,Root Category,Cameras,Camera Accessories,"Camera Cases, Covers and Bags",,,,4.54,3492,"Camera Cases, Covers and Bags",1
local,Root Category,Cameras,Camera Accessories,Memory cards,,,,2.72,3493,Memory cards,1
local,Root Category,Cameras,Camera Accessories,Batteries,,,,4.54,3496,Batteries,1
local,Root Category,"TV, Audio / Video, Gaming & Wearables",Audio,,,,,2.27,3497,Audio,1
local,Root Category,Cameras,Camera Accessories,Battery chargers,,,,4.54,3498,Battery chargers,1
local,Root Category,Cameras,Camera Accessories,Flashes,,,,0.91,3499,Flashes,1
local,Root Category,Cameras,Camera Accessories,Straps,,,,4.54,3500,Straps,1
local,Root Category,Cameras,Camera Accessories,Camera Remote Controls,,,,4.54,3504,Camera Remote Controls,1
local,Root Category,Health & Beauty,,,,,,5.45,3509,Health & Beauty,1
local,Root Category,Health & Beauty,Makeup,,,,,5.45,3511,Makeup,1
local,Root Category,Health & Beauty,Makeup,Face,,,,5.45,3512,Face,1
local,Root Category,Health & Beauty,Makeup,Face,Foundation,,,5.45,3514,Foundation,1
local,Root Category,Health & Beauty,Makeup,Face,BB Cream & Primer,BB Cream,,5.45,3518,BB Cream,1
local,Root Category,Health & Beauty,Makeup,Face,Primer,,,5.45,3521,Primer,1
local,Root Category,Health & Beauty,Makeup,Face,Concealer,,,5.45,3522,Concealer,1
local,Root Category,Health & Beauty,Makeup,Face,Compacts & Powder,,,5.45,3524,Compacts & Powder,1
local,Root Category,Health & Beauty,Makeup,Face,Blushes,,,5.45,3526,Blushes,1
local,Root Category,Health & Beauty,Makeup,Face,Bronzers,,,5.45,3527,Bronzers,1
local,Root Category,Health & Beauty,Makeup,Face,Shimmers and Highlighters,,,5.45,3528,Shimmers and Highlighters,1
local,Root Category,"TV, Audio / Video, Gaming & Wearables",Audio,Portable Players,,,,2.27,3530,Portable Players,1
local,Root Category,Health & Beauty,Makeup,Lips,,,,5.45,3531,Lips,1
local,Root Category,"TV, Audio / Video, Gaming & Wearables",Audio,Portable Players,MP3/MP4,,,2.27,3532,MP3/MP4,1
local,Root Category,Health & Beauty,Makeup,Lips,Lipsticks,,,5.45,3534,Lipsticks,1
local,Root Category,Health & Beauty,Makeup,Lips,Lip Glosses,,,5.45,3537,Lip Glosses,1
local,Root Category,Health & Beauty,Makeup,Lips,Lip Balm and Treatment,,,5.45,3539,Lip Balm and Treatment,1
local,Root Category,Health & Beauty,Makeup,Lips,Lip Liners,,,5.45,3541,Lip Liners,1
local,Root Category,Health & Beauty,Makeup,Lips,Lip Plumpers,,,5.45,3542,Lip Plumpers,1
local,Root Category,Health & Beauty,Makeup,Eyes,,,,5.45,3543,Eyes,1
local,Root Category,Health & Beauty,Makeup,Eyes,Eye Shadows,,,5.45,3544,Eye Shadows,1
local,Root Category,Health & Beauty,Makeup,Eyes,Mascaras,,,5.45,3547,Mascaras,1
local,Root Category,Health & Beauty,Makeup,Eyes,Eye Liners & Kajal,,,5.45,3548,Eye Liners & Kajal,1
local,Root Category,Health & Beauty,Makeup,Eyes,Eyebrow,,,5.45,3549,Eyebrow,1
local,Root Category,Health & Beauty,Makeup,Eyes,Eye Primer,,,5.45,3550,Eye Primer,1
local,Root Category,Health & Beauty,Makeup,Eyes,False Eyelashes,,,5.45,3551,False Eyelashes,1
local,Root Category,Health & Beauty,Makeup,Eyes,Eyelid Tape,,,5.45,3552,Eyelid Tape,1
local,Root Category,Health & Beauty,Makeup,Nails,,,,5.45,3553,Nails,1
local,Root Category,Health & Beauty,Makeup,Nails,Nail Polish,,,5.45,3554,Nail Polish,1
local,Root Category,Health & Beauty,Makeup,Nails,Nail Polish Removers & Treatments,,,5.45,3555,Nail Polish Removers & Treatments,1
local,Root Category,Health & Beauty,Makeup,Nails,Top Coat & Base Coat,,,5.45,3557,Top Coat & Base Coat,1
local,Root Category,Health & Beauty,Makeup,Nails,Nail Art & Stickers,,,5.45,3558,Nail Art & Stickers,1
local,Root Category,"TV, Audio / Video, Gaming & Wearables",Audio,Headphones & Headsets,,,,2.27,3559,Headphones & Headsets,1
local,Root Category,Health & Beauty,Makeup,Nails,Manicure Kits & Accessories,,,5.45,3560,Manicure Kits & Accessories,1
local,Root Category,"TV, Audio / Video, Gaming & Wearables",Audio,Headphones & Headsets,In-Ear Headphones ,,,2.27,3561,In-Ear Headphones ,1
local,Root Category,"TV, Audio / Video, Gaming & Wearables",Audio,Headphones & Headsets,Over-the-Ear Headphones ,,,2.27,3562,Over-the-Ear Headphones ,1
local,Root Category,"TV, Audio / Video, Gaming & Wearables",Gaming,,,,,4.54,3563,Gaming,1
