id_shipping_fee_rate_card_kg,origin,leadtime,destination_zone,rounding,weight_break,flat_rate,step_rate,is_live
7927876,"Cross Border",Standard,1091,1.00,6999.00,0.00,0.00,1
7927877,"Cross Border",Standard,1091,1.00,999999.00,0.00,0.00,1
7927878,"Cross Border",Standard,1092,1.00,6999.00,0.00,0.00,1
7927879,"Cross Border",Standard,1092,1.00,999999.00,0.00,0.00,1
7927880,"Cross Border",Standard,1093,1.00,6999.00,0.00,0.00,1
7927881,"Cross Border",Standard,1093,1.00,999999.00,0.00,0.00,1
7927882,"Cross Border",Standard,1094,1.00,6999.00,0.00,0.00,1
7927883,"Cross Border",Standard,1094,1.00,999999.00,0.00,0.00,1
7927884,"Cross Border",Standard,1095,1.00,6999.00,0.00,0.00,1
7927885,"Cross Border",Standard,1095,1.00,999999.00,0.00,0.00,1
7927886,"Cross Border",Standard,1096,1.00,6999.00,0.00,0.00,1
7927887,"Cross Border",Standard,1096,1.00,999999.00,0.00,0.00,1
7927888,"Cross Border",Standard,1097,1.00,6999.00,0.00,0.00,1
7927889,"Cross Border",Standard,1097,1.00,999999.00,0.00,0.00,1
7927890,"Cross Border",Standard,1098,1.00,6999.00,0.00,0.00,1
7927891,"Cross Border",Standard,1098,1.00,999999.00,0.00,0.00,1
7927892,"Cross Border",Standard,1099,1.00,6999.00,0.00,0.00,1
7927893,"Cross Border",Standard,1099,1.00,999999.00,0.00,0.00,1
7927894,"Cross Border",Standard,1100,1.00,6999.00,0.00,0.00,1
7927895,"Cross Border",Standard,1100,1.00,999999.00,0.00,0.00,1
7927896,"Cross Border",Standard,1101,1.00,6999.00,0.00,0.00,1
7927897,"Cross Border",Standard,1101,1.00,999999.00,0.00,0.00,1
7927898,"Cross Border",Standard,1103,1.00,6999.00,0.00,0.00,1
7927899,"Cross Border",Standard,1103,1.00,999999.00,0.00,0.00,1
7927900,"Cross Border",Standard,1104,1.00,6999.00,0.00,0.00,1
7927901,"Cross Border",Standard,1104,1.00,999999.00,0.00,0.00,1
7927902,"Cross Border",Standard,1105,1.00,6999.00,0.00,0.00,1
7927903,"Cross Border",Standard,1105,1.00,999999.00,0.00,0.00,1
7927904,"Cross Border",Standard,1106,1.00,6999.00,0.00,0.00,1
7927905,"Cross Border",Standard,1106,1.00,999999.00,0.00,0.00,1
7927906,"Cross Border",Standard,1107,1.00,6999.00,0.00,0.00,1
7927907,"Cross Border",Standard,1107,1.00,999999.00,0.00,0.00,1
7927908,"Cross Border",Standard,1108,1.00,6999.00,0.00,0.00,1
7927909,"Cross Border",Standard,1108,1.00,999999.00,0.00,0.00,1
7927910,"Cross Border",Standard,1110,1.00,6999.00,0.00,0.00,1
7927911,"Cross Border",Standard,1110,1.00,999999.00,0.00,0.00,1
7927912,"Cross Border",Standard,1111,1.00,6999.00,0.00,0.00,1
7927913,"Cross Border",Standard,1111,1.00,999999.00,0.00,0.00,1
7927914,"Cross Border",Standard,1112,1.00,6999.00,0.00,0.00,1
7927915,"Cross Border",Standard,1112,1.00,999999.00,0.00,0.00,1
7927916,"Cross Border",Standard,1113,1.00,6999.00,0.00,0.00,1
7927917,"Cross Border",Standard,1113,1.00,999999.00,0.00,0.00,1
7927918,"Cross Border",Standard,1114,1.00,6999.00,0.00,0.00,1
7927919,"Cross Border",Standard,1114,1.00,999999.00,0.00,0.00,1
