id_shipment_provider,shipment_provider_name,fk_shipment_scheme,bulky_item_lower,bulky_item_upper,volumetric_constant,weight_rounding,shipment_fee_mp_seller_rate,shipment_cost_discount,shipment_cost_vat,pickup_cost,pickup_cost_discount,pickup_cost_vat,insurance_rate,insurance_vat,active
140,LGS-FM19,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
141,LGS-FM20,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
142,LGS-FM21,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
143,LGS-FM40,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
144,LGS-CNID01,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
145,LGS-CNID04,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
146,LGS-CNID03,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
147,LGS-CNID09,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
148,LGS-CNID10,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
149,LGS-KRID01,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
150,LGS-KRID04,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
151,LGS-KRID03,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
152,LGS-KRID09,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
153,LGS-KRID10,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
154,LGS-HKID01,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
155,LGS-HKID04,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
156,LGS-HKID03,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
157,LGS-HKID09,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
158,LGS-HKID10,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
159,J&T COD,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
160,JNE SUB FBL,4,0,7,6000,0.3,7000,0.3,0.01,0,0,0,0.0025,0.1,1
161,JNE MES FBL,4,0,7,6000,0.3,7000,0.3,0.01,0,0,0,0.0025,0.1,1
162,PANDU LOGISTICS RTS,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
